Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,Recycling_fee_EUR,Customs_duty_EUR,km_category
23,104,2001,10,250830.0,4000.0,0,1,4700.0,22,11944.285714285714,69.46299759551162,22800.0,1
31,101,2016,10,150000.0,1596.0,3,0,3200.0,7,25000.0,69.46299759551162,5586.0,2
35,64,2011,11,190000.0,1200.0,0,0,5100.0,12,17272.727272727272,69.46299759551162,3840.0,1
27,67,2012,3,124000.0,1600.0,4,1,9999.0,11,12400.0,69.46299759551162,5600.0,1
1,15,1997,10,300000.0,1800.0,3,1,2700.0,26,12000.0,69.46299759551162,6300.0,1
28,23,2012,11,200000.0,1300.0,0,0,6000.0,11,20000.0,69.46299759551162,4160.0,1
5,101,2006,11,240000.0,1600.0,0,0,2700.0,17,15000.0,69.46299759551162,5600.0,1
23,31,2015,10,75000.0,2000.0,4,1,19000.0,8,10714.285714285714,69.46299759551162,9600.0,1
2,128,2009,9,192000.0,200.0,0,0,11000.0,14,14769.23076923077,69.46299759551162,600.0,1
11,101,2011,4,130000.0,1400.0,3,0,4700.0,12,11818.181818181818,69.46299759551162,4480.0,1
44,132,2015,9,180000.0,2000.0,4,1,26500.0,8,25714.285714285717,69.46299759551162,9600.0,2
33,80,2014,11,210000.0,1500.0,0,0,7199.0,9,26250.0,69.46299759551162,4800.0,2
2,9,2017,10,77000.0,2000.0,0,1,33000.0,6,15400.0,69.46299759551162,9600.0,1
14,107,2012,9,180000.0,2200.0,0,1,16750.0,11,18000.0,69.46299759551162,10560.0,1
36,114,2012,10,196000.0,1600.0,0,0,9950.0,11,19600.0,69.46299759551162,5600.0,1
2,128,2015,3,159000.0,1996.0,0,1,20500.0,8,22714.285714285717,69.46299759551162,9580.8,2
27,101,2013,4,172000.0,1461.0,0,0,6299.0,10,19111.11111111111,69.46299759551162,4675.2,1
41,102,2019,3,19000.0,2500.0,2,1,30000.0,4,6333.333333333333,69.46299759551162,7500.0,0
44,132,2015,9,155000.0,1996.0,4,1,27800.0,8,22142.85714285714,69.46299759551162,9580.8,2
20,36,2016,4,64000.0,1798.0,2,1,16000.0,7,10666.666666666666,69.46299759551162,6293.0,1
33,101,2011,4,174000.0,1461.0,0,0,4550.0,12,15818.181818181818,69.46299759551162,4675.2,1
41,24,2010,4,187000.0,1400.0,0,0,6500.0,13,15583.333333333334,69.46299759551162,4480.0,1
41,24,2007,4,235000.0,1500.0,0,0,5400.0,16,15666.666666666666,69.46299759551162,4800.0,1
2,12,2017,10,92000.0,2993.0,0,1,45000.0,6,18400.0,69.46299759551162,14965.0,1
43,37,2014,6,180000.0,1600.0,0,0,5800.0,9,22500.0,69.46299759551162,5600.0,2
28,46,2011,4,125000.0,1300.0,0,0,3750.0,12,11363.636363636364,69.46299759551162,4160.0,1
13,35,2013,3,192000.0,2200.0,0,1,17500.0,10,21333.33333333333,69.46299759551162,10560.0,2
25,101,1995,6,300000.0,2000.0,3,0,2500.0,28,11111.111111111111,69.46299759551162,9600.0,1
43,90,2007,4,240000.0,1400.0,0,0,3750.0,16,16000.0,69.46299759551162,4480.0,1
14,107,2015,3,161000.0,2000.0,0,1,18000.0,8,23000.0,69.46299759551162,9600.0,2
22,10,2014,10,230000.0,2200.0,0,1,13000.0,9,28750.0,69.46299759551162,10560.0,2
